Index,Company Name,Symbol,Price,Sector,Industry,NAICS,Beta,PE,EPS
81,Agenus Inc. - Common Stock,AGEN,3.77,Healthcare,Biotechnology,Biological Product (except Diagnostic) Manufacturing(325414),,,
82,"AgroFresh Solutions, Inc. - Common Stock",AGFS,3.23,Consumer Defensive,Consumer Packaged Goods,Fresh Fruit and Vegetable Merchant Wholesalers(424480),,,
83,"AgroFresh Solutions, Inc. - Warrants",AGFSW,,nan,nan,nan,,,
84,"Agios Pharmaceuticals, Inc. - Common Stock",AGIO,51.76,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
85,"Aeglea BioTherapeutics, Inc. - Common Stock",AGLE,8.74,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
86,AGM Group Holdings Inc. - Class A Ordinary Shares,AGMH,22.41,Technology,Software,,,,
87,AGNC Investment Corp. - Common Stock,AGNC,13.91,Real Estate,REITs,Lessors of Residential Buildings and Dwellings(531110),,,
88,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,AGNCM,23.08,Real Estate,REITs,Lessors of Residential Buildings and Dwellings(531110),,,
89,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",AGNCN,23.98,Real Estate,REITs,Lessors of Residential Buildings and Dwellings(531110),,,
90,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",AGNCO,22.91,Real Estate,REITs,Lessors of Residential Buildings and Dwellings(531110),,,
91,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",AGNCP,22.0,Real Estate,REITs,Lessors of Residential Buildings and Dwellings(531110),,,
92,"Agile Therapeutics, Inc. - Common Stock",AGRX,2.8,Healthcare,Drug Manufacturers,Pharmaceutical Preparation Manufacturing(325412),,,
93,Applied Genetic Technologies Corporation - Common Stock,AGTC,5.23,Healthcare,Biotechnology,Biological Product (except Diagnostic) Manufacturing(325414),,,
94,"Agilysys, Inc. - Common Stock",AGYS,23.5,Technology,Software,Software Publishers(511210),,,
95,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,AGZD,46.95,,,,,,
96,AdaptHealth Corp.  - Class A Common Stock,AHCO,16.92,Healthcare,Medical Devices & Instruments,Electromedical and Electrotherapeutic Apparatus Manufacturing(334510),,,
97,"Allied Healthcare Products, Inc. - Common Stock",AHPI,8.08,Healthcare,Medical Devices & Instruments,Surgical Appliance and Supplies Manufacturing(339113),,,
98,iShares Asia 50 ETF,AIA,64.93,,,,,,
99,Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares,AIH,7.17,Healthcare,Healthcare Providers & Services,General Medical and Surgical Hospitals(622110),,,
100,Senmiao Technology Limited - Common Stock,AIHS,0.5025,Financial Services,Credit Services,Consumer Lending(522291),,,
101,AIkido Pharma Inc. - Common Stock,AIKI,0.759,Healthcare,Biotechnology,Medicinal and Botanical Manufacturing(325411),,,
102,Altra Industrial Motion Corp. - Common Stock,AIMC,35.71,Industrials,Industrial Products,Mechanical Power Transmission Equipment Manufacturing(333613),,,
103,"Aimmune Therapeutics, Inc. - Common Stock",AIMT,18.41,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
104,Apollo Investment Corporation - Closed End Fund,AINV,11.7,Financial Services,Asset Management,Portfolio Management(523920),,,
105,Global X Future Analytics Tech ETF,AIQ,20.31,,,,,,
106,"Airgain, Inc. - Common Stock",AIRG,11.31,Technology,Hardware,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing(334220),,,
107,First Trust RBA American Industrial Renaissance ETF,AIRR,,nan,nan,nan,,,
108,"Air T, Inc. - Common Stock",AIRT,14.2,Industrials,Transportation,Couriers(492110),,,
109,"Air T, Inc. - Trust Preferred Securities",AIRTP,22.25,Industrials,Transportation,Couriers(492110),,,
110,"Air T, Inc. - Air T Funding Warrants to Purchase Trust Preferred",AIRTW,0.3899,Industrials,Transportation,Couriers(492110),,,
111,"Akamai Technologies, Inc. - Common Stock",AKAM,102.73,Technology,Software,All Other Business Support Services(561499),,,
112,"Akebia Therapeutics, Inc. - Common Stock",AKBA,11.84,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
113,"Akcea Therapeutics, Inc. - Common Stock",AKCA,16.78,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
114,Akers Biosciences Inc. - Common Stock,AKER,3.84,Healthcare,Medical Devices & Instruments,Surgical and Medical Instrument Manufacturing(339112),,,
115,"Akero Therapeutics, Inc. - Common Stock",AKRO,25.04,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
116,"Akoustis Technologies, Inc. - Common Stock",AKTS,8.15,Technology,Hardware,Other Communications Equipment Manufacturing(334290),,,
117,Akari Therapeutics Plc - American Depositary Shares,AKTX,2.5,Healthcare,Biotechnology,,,,
118,Alberton Acquisition Corporation - Ordinary Shares,ALAC,10.85,Financial Services,Diversified Financial Services,,,,
119,Alberton Acquisition Corporation - Rights,ALACR,,nan,nan,nan,,,
120,Alberton Acquisition Corporation - Unit,ALACU,12.0,Financial Services,Diversified Financial Services,,,,
121,Alberton Acquisition Corporation - Warrant,ALACW,,nan,nan,nan,,,
122,"Albireo Pharma, Inc. - Common Stock",ALBO,27.72,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
123,"Alico, Inc. - Common Stock",ALCO,32.04,Consumer Defensive,Consumer Packaged Goods,All Other Miscellaneous Crop Farming(111998),,,
124,"Aldeyra Therapeutics, Inc. - Common Stock",ALDX,5.02,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
125,"Alector, Inc. - Common Stock",ALEC,31.07,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
126,"Align Technology, Inc. - Common Stock",ALGN,279.71,Healthcare,Medical Devices & Instruments,Surgical Appliance and Supplies Manufacturing(339113),,,
127,Allegiant Travel Company - Common Stock,ALGT,129.97,Industrials,Transportation,Scheduled Passenger Air Transportation(481111),,,
128,"Alimera Sciences, Inc. - Common Stock",ALIM,5.04,Healthcare,Drug Manufacturers,Pharmaceutical Preparation Manufacturing(325412),,,
129,"ALJ Regional Holdings, Inc. - Common Stock",ALJJ,0.875,Industrials,Business Services,Commercial Gravure Printing(323111),,,
130,Alkermes plc - Ordinary Shares,ALKS,17.27,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
131,Allakos Inc. - Common Stock,ALLK,71.2,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
132,"Allogene Therapeutics, Inc. - Common Stock",ALLO,43.05,Healthcare,Biotechnology,Biological Product (except Diagnostic) Manufacturing(325414),,,
133,Allot Ltd. - Ordinary Shares,ALLT,10.76,Technology,Hardware,,,,
134,"Allena Pharmaceuticals, Inc. - Common Stock",ALNA,2.01,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
135,"Alnylam Pharmaceuticals, Inc. - Common Stock",ALNY,129.79,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
136,"AstroNova, Inc. - Common Stock",ALOT,8.22,Technology,Hardware,Photographic and Photocopying Equipment Manufacturing(333316),,,
137,"Alpine Immune Sciences, Inc. - Common Stock",ALPN,4.08,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
138,"Alarm.com Holdings, Inc. - Common Stock",ALRM,59.35,Technology,Software,Software Publishers(511210),,,
139,"Aileron Therapeutics, Inc. - Common Stock",ALRN,1.13,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
140,Alerus Financial Corporation - Common Stock,ALRS,21.27,Financial Services,Banks,Commercial Banking(522110),,,
141,"Alaska Communications Systems Group, Inc. - Common Stock",ALSK,2.64,Communication Services,Telecommunication Services,All Other Telecommunications(517919),,,
142,"Altimmune, Inc. - Common Stock",ALT,6.47,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
143,Altus Midstream Company - Class A Common Stock,ALTM,0.9414,Energy,Oil & Gas,Support Activities for Oil and Gas Operations(213112),,,
144,Altair Engineering Inc. - Class A Common Stock,ALTR,39.14,Technology,Software,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers(423430),,,
145,Global X SuperDividend Alternatives ETF,ALTY,11.98,,,,,,
146,"Alexion Pharmaceuticals, Inc. - Common Stock",ALXN,115.99,Healthcare,Biotechnology,Research and Development in Biotechnology (except Nanobiotechnology)(541714),,,
147,Alithya Group inc. - Class A subordinate voting shares,ALYA,1.925,Technology,Software,All Other Business Support Services(561499),,,
148,"AMAG Pharmaceuticals, Inc. - Common Stock",AMAG,8.63,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
149,Amalgamated Bank - Class A Common Stock,AMAL,12.44,Financial Services,Banks,Commercial Banking(522110),,,
150,"Applied Materials, Inc. - Common Stock",AMAT,59.79,Technology,Semiconductors,Other Electronic Component Manufacturing(334419),,,
151,"Ambarella, Inc. - Ordinary Shares",AMBA,54.87,Technology,Semiconductors,Semiconductor and Related Device Manufacturing(334413),,,
152,iShares Russell 1000 Pure U.S. Revenue ETF,AMCA,28.69,,,,,,
153,AMCI Acquisition Corp. - Class A Common Stock,AMCI,10.3,Financial Services,Diversified Financial Services,Offices of Other Holding Companies(551112),,,
154,AMCI Acquisition Corp. - Unit,AMCIU,10.6,Financial Services,Diversified Financial Services,Offices of Other Holding Companies(551112),,,
155,AMCI Acquisition Corp. - Warrant,AMCIW,,nan,nan,nan,,,
156,AMC Networks Inc. - Class A Common Stock,AMCX,31.34,Communication Services,Media - Diversified,Television Broadcasting(515120),,,
157,"Advanced Micro Devices, Inc. - Common Stock",AMD,56.39,Technology,Semiconductors,Semiconductor and Related Device Manufacturing(334413),,,
158,Amedisys Inc - Common Stock,AMED,176.67,Healthcare,Healthcare Providers & Services,Home Health Care Services(621610),,,
159,"Apollo Medical Holdings, Inc. - Common Stock",AMEH,16.47,Healthcare,Healthcare Providers & Services,All Other Miscellaneous Ambulatory Health Care Services(621999),,,
160,Amgen Inc. - Common Stock,AMGN,224.9,Healthcare,Drug Manufacturers,Pharmaceutical Preparation Manufacturing(325412),,,
161,Amplitude Healthcare Acquisition Corporation - Class A Common Stock,AMHC,9.74,Financial Services,Diversified Financial Services,Offices of Other Holding Companies(551112),,,
162,Amplitude Healthcare Acquisition Corporation - Unit,AMHCU,10.01,Financial Services,Diversified Financial Services,Offices of Other Holding Companies(551112),,,
163,Amplitude Healthcare Acquisition Corporation - Warrant,AMHCW,,nan,nan,nan,,,
164,"Amkor Technology, Inc. - Common Stock",AMKR,12.61,Technology,Semiconductors,Semiconductor and Related Device Manufacturing(334413),,,
165,"American National Bankshares, Inc. - Common Stock",AMNB,27.74,Financial Services,Banks,Commercial Banking(522110),,,
166,"Allied Motion Technologies, Inc. - Common Stock",AMOT,39.68,Technology,Hardware,Other Electronic Component Manufacturing(334419),,,
167,"Amphastar Pharmaceuticals, Inc. - Common Stock",AMPH,20.545,Healthcare,Drug Manufacturers,Pharmaceutical Preparation Manufacturing(325412),,,
168,American River Bankshares - Common Stock,AMRB,10.69,Financial Services,Banks,Commercial Banking(522110),,,
169,"Ameri Holdings, Inc. - Common Stock",AMRH,2.05,Technology,Software,Computer Facilities Management Services(541513),,,
170,"Ameri Holdings, Inc. - Warrant",AMRHW,,nan,nan,nan,,,
171,"A-Mark Precious Metals, Inc. - Common Stock",AMRK,17.36,Financial Services,Capital Markets,Commodity Contracts Dealing(523130),,,
172,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share",AMRN,7.12,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
173,"Amyris, Inc. - Common Stock",AMRS,4.32,Basic Materials,Chemicals,All Other Basic Organic Chemical Manufacturing(325199),,,
174,American Superconductor Corporation - Common Stock,AMSC,8.03,Industrials,Industrial Products,All Other Miscellaneous General Purpose Machinery Manufacturing(333999),,,
175,"AMERISAFE, Inc. - Common Stock",AMSF,66.58,Financial Services,Insurance,Direct Health and Medical Insurance Carriers(524114),,,
176,"American Software, Inc. - Class A Common Stock",AMSWA,20.38,Technology,Software,Software Publishers(511210),,,
177,Amerant Bancorp Inc. - Class A Common Stock,AMTB,16.82,Financial Services,Banks,Commercial Banking(522110),,,
178,Amerant Bancorp Inc. - Class B Common Stock,AMTBB,11.261,Financial Services,Banks,Commercial Banking(522110),,,
179,TD Ameritrade Holding Corporation - Common Stock,AMTD,43.33,Financial Services,Capital Markets,Securities Brokerage(523120),,,
180,"Aemetis, Inc - Common Stock",AMTX,0.89,Energy,Oil & Gas,Petroleum Refineries(324110),,,
181,American Woodmark Corporation - Common Stock,AMWD,71.58,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Wood Kitchen Cabinet and Countertop Manufacturing(337110),,,
182,"Amazon.com, Inc. - Common Stock",AMZN,"2,600.86",Consumer Cyclical,Retail - Cyclical,Electronic Shopping and Mail-Order Houses(454110),,,
183,"AnaptysBio, Inc. - Common Stock",ANAB,20.62,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
184,American National Insurance Company - Common Stock,ANAT,84.82,Financial Services,Insurance,Direct Property and Casualty Insurance Carriers(524126),,,
185,Anchiano Therapeutics Ltd. - American Depositary Shares,ANCN,1.34,Healthcare,Biotechnology,,,,
186,Andina Acquisition Corp. III - Ordinary Shares,ANDA,10.203,Financial Services,Diversified Financial Services,Offices of Other Holding Companies(551112),,,
187,Andina Acquisition Corp. III - Right,ANDAR,nan,nan,nan,nan,,,
188,Andina Acquisition Corp. III - Unit,ANDAU,10.44,Financial Services,Diversified Financial Services,Offices of Other Holding Companies(551112),,,
189,Andina Acquisition Corp. III - Warrant,ANDAW,nan,nan,nan,nan,,,
190,"The Andersons, Inc. - Common Stock",ANDE,15.21,Consumer Defensive,Retail - Defensive,Other Farm Product Raw Material Merchant Wholesalers(424590),,,
191,ANGI Homeservices Inc. - Class A Common Stock,ANGI,12.27,Communication Services,Interactive Media,Custom Computer Programming Services(541511),,,
192,VanEck Vectors Fallen Angel High Yield Bond ETF,ANGL,28.98,,,,,,
193,"AngioDynamics, Inc. - Common Stock",ANGO,11.71,Healthcare,Medical Devices & Instruments,Surgical and Medical Instrument Manufacturing(339112),,,
194,Anika Therapeutics Inc. - Common Stock,ANIK,37.01,Healthcare,Biotechnology,Biological Product (except Diagnostic) Manufacturing(325414),,,
195,"ANI Pharmaceuticals, Inc. - Common Stock",ANIP,33.50,Healthcare,Drug Manufacturers,Biological Product (except Diagnostic) Manufacturing(325414),,,
196,"Anixa Biosciences, Inc. - Common Stock",ANIX,2.18,Healthcare,Medical Diagnostics & Research,Testing Laboratories(541380),,,
197,"AnPac Bio-Medical Science Co., Ltd. - American Depositary Shares",ANPC,7.24,Healthcare,Biotechnology,,,,
198,"ANSYS, Inc. - Common Stock",ANSS,285.27,Technology,Software,Software Publishers(511210),,,
199,"AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares",ANTE,0.9598,Communication Services,Media - Diversified,,,,
200,Sphere 3D Corp. - Common Shares,ANY,2.795,Technology,Software,Other Computer Related Services(541519),,,
201,Alpha and Omega Semiconductor Limited - Common Shares,AOSL,12.33,Technology,Semiconductors,,,,
202,"Applied DNA Sciences, Inc. - Common Stock",APDN,7.82,Industrials,Business Services,Security Systems Services (except Locksmiths)(561621),,,
203,"American Public Education, Inc. - Common Stock",APEI,34.03,Consumer Defensive,Education,All Other Support Services(561990),,,
204,"Apollo Endosurgery, Inc. - Common Stock",APEN,1.80,Healthcare,Medical Devices & Instruments,Surgical and Medical Instrument Manufacturing(339112),,,
205,Apex Global Brands Inc. - Common Stock,APEX,1.01,Consumer Cyclical,Retail - Cyclical,Other Clothing Stores(448190),,,
206,"Apellis Pharmaceuticals, Inc. - Common Stock",APLS,32.36,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
207,"Applied Therapeutics, Inc. - Common Stock",APLT,42.75,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
208,Aptorum Group Limited - Class A Ordinary Shares,APM,4.70,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
209,"Apogee Enterprises, Inc. - Common Stock",APOG,24.80,Industrials,Construction,Glass and Glazing Contractors(238150),,,
210,Cellect Biotechnology Ltd. - American Depositary Shares,APOP,3.22,Healthcare,Biotechnology,,,,
211,Cellect Biotechnology Ltd. - Warrants to Purchase ADR (1 WT and $7.50 to purchase 0.2 ADS),APOPW,nan,nan,nan,nan,,,
212,"AppFolio, Inc. - Class A Common Stock",APPF,162.27,Technology,Software,Other Computer Related Services(541519),,,
213,Appian Corporation - Class A Common Stock,APPN,53.65,Technology,Software,Software Publishers(511210),,,
214,"Digital Turbine, Inc. - Common Stock",APPS,9.95,Technology,Software,Software Publishers(511210),,,
215,"Aprea Therapeutics, Inc. - Common Stock",APRE,29.06,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
216,"Aptose Biosciences, Inc. - Common Shares",APTO,7.10,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
